,track_name,final_track_name,clustered_track_name,pianist,mbz_id
0,Liza All the Cloudsll Roll Away,liza,liza all the cloudsll roll away,Thelonious Monk,97f12de7-6f51-47da-9159-10a1e8fc1be4
1,One for Helen,one for helen,one for helen,Bill Evans,a8cedfa9-2a43-4f28-9793-5e5cb7198672
2,My Melancholy Baby,my melancholy baby,my melancholy baby,Lennie Tristano,039f6f52-1ec4-490b-af96-049aa462e36a
3,Applejackin alternate,applejackin,applejackin,Herbie Nichols,80dd1b8a-449b-42c4-9f32-24eb412246c6
4,Stella by Starlight,stella by starlight,stella by starlight,Bill Evans,0af298a5-d424-4db0-ae22-fa18a54b1e6d
5,One Finger Snap,one finger snap,one finger snap,Kenny Barron,7173a1c0-e098-48f5-b23a-c8a71b502f20
6,Interface,interface,interface,Hank Jones,5076deb8-d9da-4f1a-8d15-d1e5487e7ab1
7,Bouncing With Bud,bouncin with bud,bouncing with bud,Bud Powell,11fbc4e5-9906-4fe4-9cd9-8f6d3089481c
8,The Best Thing for You,the best thing for you,the best thing for you,Bud Powell,4e7af6f4-b1a1-481a-994d-8f9b3038dc82
9,Brilliant Circles,brilliant circles,brilliant circles,Stanley Cowell,f91f632d-8d1c-488c-bd33-53dcd5f3f0f2
10,You Stepped Out of a Dream,you stepped out of a dream,you stepped out of a dream,Oscar Peterson,43e2fd27-4df4-4304-9cb4-1ed6264e5739
11,One for Miles,one for miles,one for miles,Ahmad Jamal,c68f6f7d-0173-4a0b-a8b0-30b985d91a6b
12,Emily,emily,emily,Bill Evans,49966de1-5e00-425c-84d5-a3a464b3aeda
13,Bouncing With Bud,bouncin with bud,bouncing with bud,John Hicks,c1fb6eb7-4755-4a58-bbff-964db7bb3239
14,Dolphin Dance,dolphin dance,dolphin dance,Ahmad Jamal,87cd9343-6d9e-4651-aabc-aa191fd7c6b0
15,Bebop,bebop,bebop,Kenny Barron,cd0e18ee-c30f-49e6-b2ed-58dba01eacda
16,Oleo,i got rhythm,i got rhythm,Bill Evans,0da512cf-84da-4d78-a442-bc9258952563
17,There Is No Greater Love,no greater love,no greater love,Oscar Peterson,dc8ea579-c473-4127-a993-5153b6086542
18,Bouncin with Bud,bouncin with bud,bouncin with bud,Keith Jarrett,5ee5c7f3-0d64-4aae-8af9-7965ecf60339
19,Tonight,tonight,tonight,Oscar Peterson,74a9e6ce-5dd8-4031-855b-bc75765d60ce
20,Bird Song,birdsong,bird song,Tommy Flanagan,1b95a78c-b86d-4fe4-9fd1-4de00ea0a041
21,My Romance,my romance,my romance,Bill Evans,3148b6ff-10f7-493a-876a-976115863f70
22,Naima,naima,naima,McCoy Tyner,5439f74b-c5f7-4526-b3cd-da602514e4b9
23,Rhonda,rhonda,rhonda,Hampton Hawes,5e18aff8-149b-4155-9523-dd95af911d83
24,Easy Does It,easy does it,easy does it,Bobby Timmons,3b2806d1-a50d-406c-a008-cd9e2010da65
25,Put Your Little Foot Right Out,put your little foot right out,put your little foot right out,Gene Harris,36cbdcdb-d0a3-4fc8-90ac-27b23962589b
26,One OClock Jump alternate take,one oclock jump,one oclock jump,Red Garland,96c85826-5a42-4dac-a573-296126ace45d
27,TTT Twelve Tone Tune,twelve tone tune,ttt twelve tone tune,Bill Evans,360d7a67-b8ff-4002-8c5a-e5d87b74c214
28,Israel,israel,israel,Bill Evans,96983faa-05bb-4900-b8f3-a6af4ec08290
29,Reets and I alternate take,all gods children,all gods chillun got rhythm,Bud Powell,aeee7f62-7c95-439f-9d15-3d806302cabf
30,Black Velvet,black velvet,black velvet,Sonny Clark,b15b5849-d62f-481d-8be7-4c7da1d1087a
31,Blue Monk,blue monk,blue monk,Hank Jones,c20e31ce-8c1b-4734-b233-f2f722c45ae4
32,It Aint Necessarily So,it aint necessarily so,it aint necessarily so,Oscar Peterson,4f77ab69-687b-47f6-8621-e8f582bf3b94
33,Bills Hit Tune,bills hit tune,bills hit tune,Bill Evans,8907b003-9e93-4b74-b35a-981879c9e36e
34,Just in Time,just in time,just in time,McCoy Tyner,76744f45-1e08-4600-a535-91b5cfced656
35,Bean and the Boys,lover,lover come back to me,Bud Powell,83dfafa4-399c-4c6c-9333-605561312aca
36,This Is the Moment,this is the moment,this is the moment,Kenny Drew,46529806-5026-4a2e-8ed1-3f7b1f25b7c9
37,Surry With the Fringe on Top,surrey with the fringe on top,surry with the fringe on top,Wynton Kelly,44d6b5c0-62ab-40b6-a979-40a05920d998
38,So in Love,so in love,so in love,Chick Corea,1c171b01-71d4-4093-8339-ec03b50aa309
39,Beautiful Love take 2,beautiful love,beautiful love,Bill Evans,3ab52308-2fd3-4dad-88fa-0daf0ae4cf99
40,Reets and I,all gods children,all gods chillun got rhythm,Bud Powell,a69093cd-0dd5-46fa-b2e0-8af7a41e82d7
41,Hank You Thank,hank you thank,hank you thank,Hank Jones,5e637f3b-4f19-4ebe-a0e6-57adc74a597c
42,Quietude,quietude,quietude,Tommy Flanagan,09b83102-af4c-460f-aa2f-382439d84416
43,Steps  What Was,steps what was,steps what was,Chick Corea,d5abc135-70df-4752-a001-c1dda258cb69
44,Woody n You,woodyn you,woody n i,Oscar Peterson,5c12a401-6728-4621-b906-74607d5657a2
45,Birdsong,birdsong,birdsong,Tommy Flanagan,1538c8eb-ccd3-4df9-9680-2f866b90ebef
46,Steeplechase,i got rhythm,i got rhythm,Paul Bley,7e397086-1528-4d2d-9c01-301407e32a7f
47,Ill Follow You,ill follow you,ill follow you,Thelonious Monk,80a798b9-a03b-40cd-b23f-e5e21e9cb3d6
48,Expectations,expectations,expectations,John Hicks,78892a40-bee3-490c-90e8-226203310b97
49,Young No More,young no more,young no more,Hank Jones,f7d683f6-ca6a-433f-b1f1-3abeaa40a6cd
50,Daydream,daydream,daydream,John Hicks,a1b552e8-4de1-4f3b-8951-32d1f093de99
51,Moments Notice,moments notice,moments notice,McCoy Tyner,79d34747-e678-4202-b3bb-db962b6da8c4
52,The Smudge,the smudge,the smudge,Oscar Peterson,400c3f7a-19b0-4d8b-8729-b3fb5407a133
53,For Heavens Sake,for heavens sake,for heavens sake,Kenny Barron,78c604cf-f177-4fef-bb9f-6d9957916c8b
54,Darn That Dream,darn that dream,darn that dream,Ahmad Jamal,0abd7fe6-ad43-436b-a436-2279d3a6ea9c
