,track,pianist,duration
0,jtd/petersono-sometimesimhappy-brownrthigpene-1961-4e1d3c4f,15,267.6497395833333
1,jtd/hicksj-holditdown-lundycmuhammadi-1987-fbd5eafb,9,139.95963541666666
2,jtd/jamala-likesomeoneinlove-nasserjfournierv-1966-c56d6b55,1,49.859375
3,jtd/monkt-misterioso-mckibbonablakeya-1971-e64ad948,18,269.7890625
4,jtd/flanagant-alldaylong-bettskdurhamb-1975-5414fde2,19,217.96875
5,pijama/coreac-prelude2op-unaccompanied-xxxx-bjf65isk,5,317.6796875
6,jtd/cowells-evidence-mcclurercopelandk-1989-2b14bd69,16,179.98958333333331
7,jtd/evansb-songfrommashsuicideis-johnsonmlabarberaj-1980-ed6edc64,2,109.25
8,jtd/tynerm-olddevilmoon-grimeshhaynesr-1963-69b7b595,14,239.98958333333331
9,jtd/evansb-emily-gomezemorellm-1968-f9fa0f9b,2,39.4296875
10,pijama/coreac-roundmidnightlive-unaccompanied-xxxx-rkbstdhy,5,448.81901041666663
11,jtd/drewk-bemylove-russellcblakeya-1951-15d2c22f,13,89.9296875
12,jtd/jamala-springwillbealittle-crosbyiperkinsw-1960-4834c912,1,49.93880208333333
13,pijama/barronk-budlikeliveatmaybeckrecital-unaccompanied-xxxx-mkhwqz3b,12,339.9895833333333
14,pijama/harrisg-lusbluesliveatmaybeck-unaccompanied-xxxx-9ceecrzu,6,367.0390625
15,jtd/evansb-gonewiththewind-gomezejoep-1966-eb135dab,2,69.98958333333333
16,pijama/jonesh-thejitterbugwaltzinstrumental-unaccompanied-xxxx-q8wrraio,8,216.859375
17,jtd/mancej-loveforsale-thompsondalleynea-1997-191b3064,10,189.98958333333331
18,jtd/drewk-allblues-rstedntootiea-1974-2754da55,13,202.5
19,jtd/petersono-thatoldblackmagic-brownrthigpene-1959-31e63b51,15,59.59895833333333
20,pijama/petersono-bluesoftheprairieslive-unaccompanied-xxxx-m7hcr51i,15,307.46875
21,jtd/barronk-iveneverbeeninlove-mrazgrileyb-2009-3949b9be,12,122.5
22,jtd/evansb-perisscope-gomezemorellm-1973-0e6c1811,2,76.96875
23,pijama/waltonc-stellabystarlightliveat-unaccompanied-xxxx-f6keh2s7,4,351.4296875
24,jtd/jarrettk-fallinginlovewithlove-peacockgdejohnettej-1985-6bfadb79,11,228.359375
25,pijama/tynerm-espanola-unaccompanied-xxxx-wujtslcm,14,235.82942708333331
26,jtd/mancej-worksong-thompsondalleynea-1997-0e328835,10,269.8098958333333
27,jtd/waltonc-ididntknowwhattime-dumastpenlandr-1979-28cbeeb4,4,189.79947916666666
28,jtd/barronk-howdeepistheocean-mrazgrileyb-2009-8fe86d72,12,138.09895833333331
29,pijama/jarrettk-bemylove-unaccompanied-xxxx-momx9xt2,11,333.83984375
30,jtd/jamala-smokegetsinyoureyes-crosbyifournierv-1960-c72a41e8,1,57.25911458333333
31,jtd/evansb-myheartstoodstill-israelscbunkerl-1962-e66cad51,2,65.02994791666666
32,pijama/petersono-dancingontheceilingremastered-unaccompanied-xxxx-j7e03i9j,15,304.74609375
33,jtd/jarrettk-itcouldhappentoyou-peacockgdejohnettej-1996-058a967c,11,239.55989583333331
34,jtd/evansb-thetwolonelypeople-johnsonmlabarberaj-1980-e5016fe2,2,69.0
35,jtd/petersono-myheartstoodstill-brownrthigpene-1959-da047a33,15,79.98958333333333
36,jtd/drewk-bluesinn-rstedntootiea-1974-30dbeb9e,13,139.11979166666666
37,pijama/wilsont-sweetgeorgiabrown-unaccompanied-xxxx-yylqrky2,17,177.72916666666666
38,jtd/jarrettk-myfoolishheart-peacockgdejohnettej-2001-c32e867c,11,129.98958333333331
39,jtd/cowells-roundaboutmidnight-thomascthomasw-1993-66ae7207,16,109.39973958333333
40,jtd/hicksj-serenata-dolphindbrooksc-2003-f0f06c00,9,259.9895833333333
41,jtd/evansb-somedaymyprincewillcome-gomezedejohnettej-1966-3e032117,2,99.98958333333333
42,jtd/mehldaub-cheryl-grenadierlballardj-2013-5b112407,3,198.83984375
43,jtd/jarrettk-whispernot-peacockgdejohnettej-1999-acdeb96f,11,176.63932291666666
44,pijama/jarrettk-answermelive-unaccompanied-xxxx-kodaodjh,11,268.21875
45,pijama/tynerm-willowweepforme-unaccompanied-xxxx-d4lr3mqz,14,332.5091145833333
46,jtd/petersono-ivegotyouundermy-brownrthigpene-1959-4fa252b6,15,36.89973958333333
47,jtd/jamala-allthethingsyouare-heardjisraely-1992-5d32f8fa,1,99.23958333333333
48,jtd/petersono-theresaboatdatsleavin-brownrthigpene-1960-edc6c772,15,98.76953125
49,jtd/jarrettk-fivebrothers-peacockgdejohnettej-2001-aee0fe74,11,239.64973958333331
50,pijama/flanagant-ifyoucouldseemenow-unaccompanied-xxxx-g9wqdvhs,19,202.86067708333331
51,jtd/monkt-nutty-mckibbonablakeya-1971-e99b4feb,18,139.98958333333331
52,jtd/drewk-howarethingsinglocca-vindingmthigpene-1981-d4bf5d01,13,129.98958333333331
53,pijama/wilsont-oneoclockjump-unaccompanied-xxxx-z988sjf6,17,232.5
54,pijama/wilsont-lushlifetakethea-unaccompanied-xxxx-arbjjpir,17,327.609375
55,jtd/tynerm-themeforernie-grimeshhaynesr-1962-60aa6aca,14,162.06510416666666
56,pijama/waltonc-justoneofthosethings-unaccompanied-xxxx-qm6bqkt9,4,337.2395833333333
57,jtd/evansb-emily-gomezemorellm-1969-ea48b0a5,2,38.6796875
58,jtd/petersono-kadotasblues-brownrthigpene-1961-b0841295,15,192.5
59,jtd/jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,1,59.98958333333333
60,jtd/petersono-scrapplefromtheapple-brownrthigpene-1961-257068ec,15,168.90885416666666
61,pijama/petersono-lulusbackintownlive-unaccompanied-xxxx-e4h1zrcp,15,124.30598958333333
62,pijama/coreac-bagatelle3-unaccompanied-xxxx-2l01ylcv,5,57.40234375
63,jtd/petersono-moanin-brownrthigpene-1965-314fe57f,15,109.98958333333333
64,jtd/evansb-myromance-johnsonmlabarberaj-1980-3148b6ff,2,39.01953125
65,pijama/tynerm-tivoli-unaccompanied-xxxx-zzs1xka8,14,275.359375
66,pijama/ibrahima-blueboleroblueboleroiii-unaccompanied-xxxx-wgkrk16e,0,79.79947916666666
67,jtd/jamala-poorbutterfly-crosbyifournierv-1958-94f90cba,1,52.5
68,pijama/mehldaub-marthamydearlive-unaccompanied-xxxx-io785fia,3,361.72916666666663
