,pianist,track,duration,album,composition,setting,split
0,Stanley Cowell,pijama/cowells-autumnleavesliveatmaybeck-unaccompanied-xxxx-1rlvqj90,265.2591145833333,Stanley Cowell (The Maybeck Recital Series Vol 5),autumn leaves,solo,train
1,Keith Jarrett,pijama/jarrettk-pt-unaccompanied-xxxx-iwox874v,425.11979166666663,Keith Jarrett (Paris  London Testament),pt,solo,train
2,Thelonious Monk,pijama/monkt-thesefoolishthingsremindmeof-unaccompanied-xxxx-liz4gx8x,210.49609375,Thelonious Monk (Solo Monk),these foolish things,solo,train
3,Brad Mehldau,pijama/mehldaub-countdownlive-unaccompanied-xxxx-4zb48dt2,636.7838541666666,Brad Mehldau (10 Years Solo Live),tune up,solo,train
4,Chick Corea,pijama/coreac-childrenssongno-unaccompanied-xxxx-4f18eoq7,141.53776041666666,Chick Corea (Plays),childrens song,solo,train
5,Oscar Peterson,pijama/petersono-toawildrose-unaccompanied-xxxx-83fquvps,156.36979166666666,Oscar Peterson (1951),to a wild rose,solo,train
6,Cedar Walton,pijama/waltonc-bookersbossa-unaccompanied-xxxx-ybwty3kl,329.109375,Cedar Walton (Blues For Myself Piano Solo),bookers bossa,solo,train
7,Brad Mehldau,pijama/mehldaub-knivesoutlive-unaccompanied-xxxx-kwpzz1ym,660.1588541666666,Brad Mehldau (10 Years Solo Live),knives out,solo,train
8,Thelonious Monk,pijama/monkt-isurrenderdear-unaccompanied-xxxx-0qq6eeqg,221.4921875,Thelonious Monk (Solo Monk),i surrender dear,solo,train
9,Tommy Flanagan,pijama/flanagant-yesterdays-unaccompanied-xxxx-4hhed1km,206.58984375,Tommy Flanagan (Solo Piano),yesterdays,solo,train
10,Hank Jones,pijama/jonesh-thenightwecalledita-unaccompanied-xxxx-nufi9ixw,192.5,Hank Jones (Live At Maybeck Recital Hall Vol 16),the night we called it a day,solo,train
11,McCoy Tyner,pijama/tynerm-tributetoladyday-unaccompanied-xxxx-v42ux0ub,282.6796875,McCoy Tyner (Soliloquy),tribute to lady day,solo,train
12,Brad Mehldau,pijama/mehldaub-meditationiilovemeditation-unaccompanied-xxxx-ouru001s,350.96875,Brad Mehldau (10 Years Solo Live),meditation ii love meditation,solo,train
13,Hank Jones,pijama/jonesh-donothintillyouhearfrom-unaccompanied-xxxx-zsai7dcl,217.8828125,Hank Jones (SOLO 1976 A Tribute to Duke Ellington),do nothin till you hear from me,solo,train
14,Oscar Peterson,pijama/petersono-bodyandsoullive-unaccompanied-xxxx-5pvwhswc,271.1692708333333,Oscar Peterson (Exclusively for My Friends   My Favorite Instrument Vol IV),body and soul,solo,train
15,Cedar Walton,pijama/waltonc-justintime-unaccompanied-xxxx-y1wpvlm4,307.65885416666663,Cedar Walton (Blues For Myself Piano Solo),just in time,solo,train
16,Teddy Wilson,pijama/wilsont-ladybegood-unaccompanied-xxxx-6tlpw9bq,153.40885416666666,Teddy Wilson (Solo Piano  The Keystone Transriptions),oh lady be good,solo,train
17,Ahmad Jamal,pijama/jamala-emily-unaccompanied-xxxx-dqvycycm,257.4661458333333,Ahmad Jamal (Ballades),emily,solo,train
18,Cedar Walton,pijama/waltonc-lostapril-unaccompanied-xxxx-phuhc4so,402.5,Cedar Walton (Underground Memoirs),lost april,solo,train
19,Brad Mehldau,pijama/mehldaub-goodbyestorytellerforfredmyrow-unaccompanied-xxxx-939jcz08,456.2591145833333,Brad Mehldau (Live in Marciac),goodbye storyteller for fred myrow,solo,train
