Contrafact,Original Song
"""100 Proof""","""What Is This Thing Called Love?"""
"""26-2""","""Confirmation"""
"""317 East 32nd Street""","""Out of Nowhere"""
"""52nd Street Theme""","""I Got Rhythm"""
"""Ablution""","""All the Things You Are"""
"""Air Mail Special""","""I Got Rhythm"""
"""Ah-Leu-Cha""","""I Got Rhythm"""
"""Ahma See Ya""","""Out Of Nowhere"""
"""All The Things You Could Be By Now If Sigmund Freud's Wife Was Your Mother""","""All the Things You Are"""
"""Allen's Alley""","""I Got Rhythm"""
"""Almost""","""I Got Rhythm"""
"""Anatomy""","""All the Things You Are"""
"""And I Do""","""I Should Care"""
"""And She Remembers Me""","""I'll Remember April"""
"""Anthropology / Thriving on a Riff""","""I Got Rhythm"""
"""Apache Dance""","""Cherokee"""
"""Apple Honey""","""I Got Rhythm"""
"""Apple Jump","""I Got Rhythm"""
"""As I Live and Bop""","""Confirmation"""
"""Back Home in Brooklyn with Donna""","""Back Home Again in Indiana"""
"""Background Music""","""All of Me"""
"""Barry's Bop""","""What Is This Thing Called Love?"""
"""Be A Good Girl""","""Oh, Lady Be Good!"""
"""Bean and the Boys""","""Lover, Come Back to Me"""
"""Bebop Romp""","""Fine and Dandy"""
"""Beep Durple""","""Deep Purple"""
"""Because of Guns""","""Hey Joe"""
"""Bike Up The Strand""","""Strike Up The Band"""
"""Birdland Stomp""","""Stompin' at the Savoy"""
"""Bird Gets the Worm""","""Lover, Come Back to Me"""
"""Blue Boy""","""Fine and Dandy"""
"""Blue Serge""","""Cherokee"""
"""Blue's Theme""","""I Got Rhythm"""
"""Boneology""","""Robbins’ Nest"""
"""Bop City""","""I Got Rhythm"""
"""Bop Kick""","""I Got Rhythm"""
"""Boperation""","""I Got Rhythm"""
"""Boppin' A Riff""","""I Got Rhythm"""
"""Boston Bernie""","""All the Things You Are"""
"""The Bridge""","""I Got Rhythm"""
"""Bright Mississippi""","""Sweet Georgia Brown"""
"""Brown Gold""","""I Got Rhythm"""
"""Brownie Speaks""","""I Got Rhythm"""
"""Brown Skins""","""Cherokee"""
"""Bud's Bubble""","""I Got Rhythm"""
"""Byas a Drink""","""Stompin' at the Savoy"""
"""Call the Police""","""I Got Rhythm"""
"""Calling Dr Jazz""","""I Got Rhythm"""
"""Capuchin Swing""","""Star Eyes"""
"""Cardboard""","""Don't Take Your Love From Me"""
"""Casbah""","""Out of Nowhere"""
"""Celia""","""I Got Rhythm"""
"""Chant of the Groove""","""I Got Rhythm"""
"""Charge Account""","""All the Things You Are"""
Charlie's Wig,"""When I Grow Too Old to Dream"""
"""The Chase""","""I Got Rhythm"""
"""Chasin' the Bird""","""I Got Rhythm"""
"""Chasm""","""I Got Rhythm"""
"""Cheers""","""I Got Rhythm"""
"""Chick's Tune""","""You Stepped Out of a Dream"""
"""Chippie""","""I Got Rhythm"""
"""Christmas Eve""","""I Got Rhythm"""
"""Citrus Season""","""Limehouse Blues"""
"""Chronology""","""I Got Rhythm"""
"""Cindy's Tune""","""Honeysuckle Rose"""
"""Clifford's Axe""","""The Man I Love"""
"""Cochise""","""Cherokee"""
"""Coffee Pot""","""All God's Chillun Got Rhythm"""
"""Cohn Pone""","""Get Happy"""
"""Compulsion""","""I Got Rhythm"""
"""Confirmation""","""Twilight Time"""
"""Confab With Rab""","""I Got Rhythm"""
"""Constellation""","""I Got Rhythm"""
"""Contrafact""","""Like Someone In Love"""
"""Cookie""","""Oh, Lady Be Good!"""
"""Coolie Rini""","""I Got Rhythm"""
"""Coppin' The Bop""","""I Got Rhythm"""
"""Cottontail""","""I Got Rhythm"""
"""Could Ja""","""I Got Rhythm"""
"""Countdown""","""Tune Up"""
"""Coupe de Ville""","""There Is No Greater Love"""
"""Crazeology""","""I Got Rhythm"""
"""CTA""","""I Got Rhythm"""
Cuban Holiday,"""Honeysuckle Rose"""
"""Dear John""","""Giant Steps"""
"""Deception""","""Conception"""
"""Deep People""","""A Foggy Day"""
"""Delerium""","""I Got Rhythm"""
"""Deliberation""","""Back Home Again in Indiana"""
"""Deltitnu""","""I Got Rhythm"""
"""Denial""","""Confirmation"""
"""Dewey Square""","""Oh, Lady Be Good!"""
"""Dexter's Cuttin' Out""","""I Got Rhythm"""
"""Dexter's Deck""","""I Got Rhythm"""
"""Dexter Digs In""","""I Got Rhythm"""
"""Dexterity""","""I Got Rhythm"""
"""Dextivity""","""Take the ""A"" Train"""
"""Dextrose""","""Fine and Dandy"""
"""Dig"" aka ""Donna""","""Sweet Georgia Brown"""
"""Diggin' Diz""","""Lover"""
"""Disappointed""","""Oh, Lady Be Good!"""
"""Dixie's Dilemma""","""All The Things You Are"""
"""Dixie Jamboree""","""I Got Rhythm"""
"""Dizzy Atmosphere""","""I Got Rhythm"""
"""Do You Hear the Voices You Left Behind?""","""Giant Steps"""
"""Doin' The Bow Wow""","""I Got Rhythm"""
"""Donna Lee""","""Back Home Again in Indiana"""
"""Don't Be That Way""","""I Got Rhythm"""
"""Dorothy""","""I Got Rhythm"""
"""Dot's Groovy""","""I Got Rhythm"""
"""Double Date""","""Fine and Dandy"""
"""Doujie""","""Confirmation"""
"""Down for the Double""","""I Got Rhythm"""
"""Doxy""","""Ja-Da"""
"""Dream Step""","""You Stepped Out of a Dream"""
"""Dream Stepper""","""You Stepped Out of a Dream"""
"""The Duel""","""I Got Rhythm"""
"""E. T. A.""","""Lazy Bird"""
"""Ear Conditioning""","""Look For The Silver Lining"""
"""East Thirty-Second""","""Pennies from Heaven"""
"""Eb""","""I Got Rhythm"""
"""Eb Pob""","""I Got Rhythm"""
"""The Eternal Triangle""","""I Got Rhythm"""
"""Euphoria""","""'S Wonderful"""
"""Everything's Cool""","""I Got Rhythm"""
