accuracy,iteration,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.3374233128834356,10,42,21,4,5,0.010099,22,False
0.20245398773006135,39,42,352,10,10,0.010099,4,True
0.19631901840490798,26,42,107,5,4,0.24257575,1,False
0.19631901840490798,22,42,154,6,5,0.1350865,2,True
0.34355828220858897,24,42,23,8,8,0.5000500000000001,7,True
0.294478527607362,32,42,79,4,4,0.30756925,4,True
0.294478527607362,55,42,245,3,4,0.07259275000000001,6,True
0.38650306748466257,17,42,118,9,9,0.06009400000000001,14,False
0.1901840490797546,9,42,275,2,1,0.2650735,2,False
0.38650306748466257,58,42,32,9,9,0.5000500000000001,20,True
0.3558282208588957,35,42,34,5,10,0.56754325,32,True
0.37423312883435583,8,42,22,8,2,0.62253775,30,True
0.3987730061349693,27,42,147,9,6,0.12758725,14,True
0.25766871165644173,11,42,73,7,1,0.69753025,4,False
0.3558282208588957,60,42,41,3,9,0.48005200000000003,9,True
0.3312883435582822,69,42,17,7,5,0.0150985,12,True
0.4171779141104294,48,42,47,9,2,0.31006900000000004,33,True
0.4233128834355828,15,42,37,7,2,0.3050695,23,False
0.3803680981595092,34,42,321,2,4,0.06259375,14,True
0.17791411042944785,73,42,74,3,10,0.6775322500000001,1,False
0.3803680981595092,49,42,79,6,2,0.41255875000000003,10,True
0.39263803680981596,57,42,151,4,1,0.14258575,14,True
0.4110429447852761,51,42,48,2,4,0.37006300000000003,37,False
0.3496932515337423,74,42,192,7,10,0.04509550000000001,9,False
0.18404907975460122,78,42,67,9,10,0.6700330000000001,1,True
0.38650306748466257,25,42,52,5,8,0.8750125000000001,33,True
0.4539877300613497,52,42,108,7,1,0.18758125,14,False
0.15337423312883436,82,42,269,6,5,0.0001,23,False
0.3067484662576687,12,42,358,6,4,0.230077,6,True
0.3067484662576687,66,42,196,5,9,0.3050695,6,True
0.3803680981595092,53,42,222,8,10,0.2150785,8,False
0.37423312883435583,20,42,49,7,4,0.8150185000000001,33,True
0.25153374233128833,41,42,201,10,7,0.8350165,4,True
0.39263803680981596,13,42,390,8,1,0.08009200000000001,17,True
0.25766871165644173,76,42,89,5,5,0.7350265,4,True
0.31901840490797545,88,42,18,5,7,0.33756625,37,True
0.34355828220858897,4,42,333,10,2,0.24757525000000002,6,False
0.26380368098159507,79,42,332,6,5,0.260074,4,True
0.37423312883435583,42,42,132,7,10,0.57754225,29,True
0.4049079754601227,3,42,199,5,7,0.32756725000000003,29,True
0.3496932515337423,63,42,69,9,6,0.8000200000000001,26,True
0.3558282208588957,5,42,376,6,3,0.240076,6,False
0.37423312883435583,61,42,108,8,8,0.64753525,29,True
0.4294478527607362,16,42,165,6,1,0.23257675,None,True
0.4785276073619632,14,42,122,4,2,0.230077,26,False
0.3619631901840491,94,42,16,8,10,0.64753525,27,True
0.4110429447852761,2,42,71,6,4,0.880012,29,True
0.38650306748466257,46,42,92,7,5,0.5000500000000001,14,False
0.3496932515337423,87,42,349,2,10,0.08509150000000001,35,True
0.4294478527607362,71,42,138,3,7,0.41255875000000003,32,True
0.4110429447852761,40,42,360,8,4,0.16258375,19,True
0.39263803680981596,90,42,98,6,4,0.2450755,19,True
0.4110429447852761,84,42,376,10,5,0.08509150000000001,32,True
0.36809815950920244,50,42,124,10,3,0.50254975,11,False
0.3987730061349693,28,42,141,4,10,0.49255075000000004,29,False
0.4171779141104294,70,42,157,6,1,0.270073,26,True
0.25153374233128833,86,42,159,8,1,0.7550245000000001,4,False
0.34355828220858897,21,42,337,5,6,0.49505050000000006,7,True
0.4294478527607362,80,42,210,8,9,0.2150785,19,False
0.3619631901840491,113,42,29,5,9,0.15758425,19,True
0.44785276073619634,77,42,219,2,5,0.17758225,19,False
0.3803680981595092,72,42,91,10,1,0.93250675,12,True
0.19631901840490798,116,42,110,3,6,0.19258075,1,False
0.39263803680981596,97,42,177,8,6,0.2150785,36,True
0.3619631901840491,111,42,60,7,10,0.5150485,9,True
0.3619631901840491,89,42,89,9,9,0.8950105,28,True
0.19631901840490798,114,42,162,7,1,0.5950405000000001,2,True
0.3496932515337423,119,42,117,5,7,0.06009400000000001,12,True
0.4049079754601227,91,42,319,2,3,0.130087,10,False
0.3619631901840491,37,42,156,2,7,0.6425357500000001,10,False
0.38650306748466257,109,42,35,5,3,0.6750325,32,True
0.4110429447852761,64,42,347,5,8,0.330067,21,True
0.3312883435582822,108,42,85,4,5,0.69753025,7,True
0.38650306748466257,104,42,269,6,10,0.240076,12,True
0.3987730061349693,6,42,253,3,1,0.2750725,30,True
0.39263803680981596,102,42,57,6,2,0.46755325000000003,30,False
0.3987730061349693,107,42,75,3,4,0.5825417500000001,33,True
0.4049079754601227,110,42,386,9,10,0.08509150000000001,20,False
0.3128834355828221,105,42,144,7,6,0.8850115000000001,6,True
0.36809815950920244,115,42,121,10,9,0.20757925000000002,18,False
0.3312883435582822,135,42,12,8,7,0.025097500000000002,28,False
0.3619631901840491,67,42,148,4,1,0.69753025,13,True
0.4171779141104294,137,42,54,3,6,0.15258475,None,True
0.3496932515337423,81,42,81,2,2,0.64753525,21,False
0.3987730061349693,92,42,351,6,10,0.2450755,9,False
0.20245398773006135,138,42,78,3,6,0.10009000000000001,2,True
0.4049079754601227,118,42,52,4,3,0.62253775,31,True
0.44171779141104295,65,42,283,7,9,0.350065,18,False
0.4171779141104294,29,42,335,9,6,0.43755625000000004,27,True
0.3987730061349693,128,42,49,5,1,0.40006,40,True
0.44785276073619634,83,42,189,2,6,0.35256475000000004,28,False
0.4049079754601227,134,42,75,4,10,0.3250675,33,True
0.4601226993865031,100,42,265,7,3,0.14758525,26,False
0.2085889570552147,140,42,199,3,8,0.25007500000000005,3,True
0.4110429447852761,123,42,136,7,5,0.31006900000000004,23,True
0.2883435582822086,23,42,356,9,8,0.9850015000000001,6,True
0.38650306748466257,131,42,37,4,1,0.50254975,15,False
0.4110429447852761,7,42,227,6,2,0.590041,17,True
0.39263803680981596,0,42,192,7,4,0.55254475,14,False
0.4601226993865031,54,42,224,7,1,0.33506650000000004,36,False
0.4171779141104294,130,42,215,4,9,0.150085,25,False
0.38650306748466257,93,42,145,3,7,0.5350465000000001,28,False
0.4110429447852761,75,42,340,7,10,0.5750425,22,True
0.2392638036809816,136,42,268,10,7,0.7275272500000001,3,False
0.4662576687116564,148,42,72,6,4,0.25007500000000005,25,False
0.4294478527607362,143,42,117,8,10,0.2750725,17,False
0.3987730061349693,117,42,96,3,4,0.49755025,34,False
0.38650306748466257,129,42,79,7,7,0.9500050000000001,31,True
0.38650306748466257,19,42,389,2,8,0.57754225,35,True
0.22085889570552147,164,42,72,8,9,0.00259975,10,True
0.3067484662576687,62,42,165,4,8,0.8300170000000001,27,False
0.38650306748466257,47,42,257,7,9,0.9600040000000001,36,True
0.39263803680981596,96,42,296,2,9,0.5450455000000001,18,True
0.4233128834355828,85,42,274,2,3,0.42255775,22,True
0.3067484662576687,68,42,143,3,7,0.9025097500000001,33,False
0.3987730061349693,161,42,79,3,5,0.17758225,33,True
0.3067484662576687,170,42,358,5,7,0.01259875,16,True
0.37423312883435583,101,42,314,4,10,0.5550445,18,True
0.3558282208588957,159,42,133,9,1,0.16758325000000002,11,True
0.4171779141104294,122,42,262,10,10,0.28757125,28,False
0.2822085889570552,160,42,23,5,9,0.7950205,39,False
0.2331288343558282,158,42,165,4,2,0.8500150000000001,3,False
0.4110429447852761,163,42,31,4,1,0.590041,15,True
0.39263803680981596,141,42,277,5,7,0.320068,10,True
0.3619631901840491,169,42,65,10,6,0.36506350000000004,9,True
0.4233128834355828,151,42,78,4,7,0.48255175000000006,20,False
0.38650306748466257,33,42,183,8,3,0.9900010000000001,27,True
0.3803680981595092,173,42,72,9,3,0.12758725,11,False
0.4049079754601227,177,42,25,3,9,0.33506650000000004,32,False
0.20245398773006135,184,42,48,8,7,0.48005200000000003,2,True
0.4294478527607362,112,42,337,10,10,0.30756925,None,False
0.39263803680981596,144,42,273,7,7,0.29757025000000004,36,True
0.3496932515337423,172,42,305,2,8,0.06759325000000001,28,True
0.4233128834355828,98,42,201,10,7,0.5800420000000001,23,False
0.26380368098159507,146,42,63,3,8,0.9350065000000001,32,False
0.49693251533742333,1,42,365,5,1,0.25757425,29,False
0.2392638036809816,191,42,78,7,6,0.01759825,5,True
0.43558282208588955,157,42,153,10,8,0.28257175,23,False
0.4110429447852761,38,42,347,10,6,0.70003,19,True
0.3374233128834356,188,42,17,7,6,0.5250475,27,True
0.39263803680981596,174,42,51,3,3,0.4850515,24,True
0.4171779141104294,175,42,111,9,9,0.22757725,38,False
0.4294478527607362,156,42,94,10,1,0.45005500000000004,18,False
0.20245398773006135,168,42,394,4,6,0.88251175,2,False
0.44171779141104295,196,42,74,4,5,0.12258775000000001,29,True
0.4294478527607362,121,42,210,9,8,0.49505050000000006,20,False
0.26993865030674846,149,42,383,2,5,0.6900310000000001,5,True
0.4171779141104294,178,42,290,9,10,0.110089,28,False
0.38650306748466257,179,42,311,4,1,0.06509350000000001,40,True
0.38650306748466257,182,42,155,5,10,0.34006600000000003,27,True
0.34355828220858897,203,42,12,5,6,0.36256375,34,True
0.4049079754601227,18,42,353,7,7,0.54254575,14,False
0.4049079754601227,204,42,29,7,4,0.31506850000000003,22,False
0.3987730061349693,207,42,62,9,10,0.11258875000000002,37,False
0.25153374233128833,192,42,38,8,10,0.9475052500000001,22,False
0.4171779141104294,187,42,183,5,7,0.3450655,12,True
0.25766871165644173,183,42,233,10,2,0.6450355000000001,4,False
0.24539877300613497,212,42,63,4,5,0.03259675000000001,5,True
0.2392638036809816,193,42,400,7,10,0.660034,3,True
0.5030674846625767,155,42,223,4,3,0.25007500000000005,35,False
0.24539877300613497,45,42,166,6,4,0.9975002500000001,31,False
0.20245398773006135,195,42,365,6,5,0.96750325,2,False
0.4294478527607362,31,42,350,5,4,0.47005300000000005,19,False
0.4110429447852761,30,42,242,2,2,0.8550145000000001,35,True
0.39263803680981596,205,42,96,7,8,0.550045,12,True
0.25766871165644173,43,42,240,8,8,0.9275072500000001,28,False
0.4539877300613497,202,42,102,3,4,0.23257675,30,False
0.1901840490797546,222,42,285,8,1,0.010099,2,False
0.3006134969325153,126,42,273,9,2,0.8275172500000001,7,False
0.3128834355828221,199,42,366,7,6,0.37256275,5,True
0.37423312883435583,132,42,265,6,8,0.9150085000000001,11,True
0.3374233128834356,209,42,81,9,2,0.45005500000000004,7,False
0.4233128834355828,150,42,234,10,4,0.5950405000000001,17,True
